url,Perfume,Brand,Gender,Rating,Decade,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/calvin-klein/ck-one-shock-for-him-12520.html,Ck One Shock For Him,Calvin Klein,male,4.06,2010s,"lavender, clementine, cucumber","cardamom, pepper, basil, osmanthus","tobacco, amber, patchouli, woodsy notes, musk",tobacco,warm spicy,amber,sweet,fresh spicy
https://www.fragrantica.com/perfume/lattafa-perfumes/khaltaat-al-arabia-royal-blends-64946.html,Khaltaat Al Arabia Royal Blends,Lattafa Perfumes,unisex,4.04,2020s,"fruits, apple","spices, nutmeg, clove","amber, musk, woodsy notes",fruity,warm spicy,amber,sweet,fresh spicy
https://www.fragrantica.com/perfume/lattafa-perfumes/al-ameed-82471.html,Al Ameed,Lattafa Perfumes,male,4.09,2020s,"clary sage, mandarin orange","pineapple, pepper","leather, musk",leather,fruity,aromatic,sweet,fresh spicy
https://www.fragrantica.com/perfume/incarna-parfums/nymph-51890.html,Nymph,Incarna Parfums,female,3.71,2010s,"strawberry, mint, green notes, tiare flower","black currant leaf, chamomile, neroli, geranium","ambrette (musk mallow), pine",green,fruity,aromatic,sweet,fresh spicy
https://www.fragrantica.com/perfume/nuancielo/alpha-63286.html,Alpha,Nuancielo,male,4.31,2020s,"orange, aldehydes, blood mandarin, sea notes","pepper, neroli, cedar","vanilla, tonka bean, white musk, amber, elemi resin, vetiver",citrus,vanilla,aromatic,sweet,fresh spicy
https://www.fragrantica.com/perfume/lush/hairdresser-s-husband-56383.html,Hairdresser S Husband,Lush,unisex,4.18,2010s,"lemon, orange, grapefruit","myrtle, lime","vanilla absolute, tonka bean",citrus,vanilla,aromatic,sweet,fresh spicy
https://www.fragrantica.com/perfume/fragrenza/limone-e-vaniglia-57979.html,Limone E Vaniglia,Fragrenza,unisex,4.6,2010s,"bergamot, blood orange, lavender","cinnamon, licorice, jasmine, rose","vanilla, caramel, musk",citrus,vanilla,caramel,sweet,fresh spicy
https://www.fragrantica.com/perfume/jesus-del-pozo/wild-temptation-70607.html,Wild Temptation,Jesus Del Pozo,unisex,4.26,2020s,"cinnamon, peach","nutmeg, saffron","tobacco, agarwood (oud)",tobacco,warm spicy,cinnamon,sweet,fresh spicy
https://www.fragrantica.com/perfume/chanel/chance-eau-tendre-8069.html,Chance Eau Tendre,Chanel,female,4.12,2010s,"quince, grapefruit","hyacinth, jasmine","musk, iris, virginia cedar, amber",floral,fruity,citrus,sweet,fresh spicy
https://www.fragrantica.com/perfume/burberry/my-burberry-limited-edition-28680.html,My Burberry Limited Edition,Burberry,female,3.78,2010s,"sweet pea, mandarin orange, bergamot","freesia, quince, geranium","damask rose, rose, patchouli",floral,rose,citrus,sweet,fresh spicy
https://www.fragrantica.com/perfume/avon/peace-love-attitude-50107.html,Peace Love Attitude,Avon,female,3.64,2010s,"bergamot, black currant","pi�a colada, orange blossom, freesia","musk, blackberry",fruity,citrus,floral,sweet,fresh spicy
https://www.fragrantica.com/perfume/mind-games/blockade-76717.html,Blockade,Mind Games,unisex,4.36,2020s,"mango, bergamot, tomato leaf, pink pepper","mango blossom, lavender, watery cyclamen, star anise","agarwood (oud), suede, amber, patchouli",tropical,fruity,floral,sweet,fresh spicy
https://www.fragrantica.com/perfume/loewe/aire-loco-6949.html,Aire Loco,Loewe,female,3.97,2000s,"bergamot, pink pepper, magnolia, neroli","passionfruit, african orange flower, jasmine, freesia, rose","cardamom, virginia cedar, patchouli, vanilla",citrus,white floral,floral,sweet,fresh spicy
https://www.fragrantica.com/perfume/alexandria-fragrances/crazy-pineapple-49258.html,Crazy Pineapple,Alexandria Fragrances,unisex,4.07,2010s,"citruses, bergamot","pineapple, green apple","musk, patchouli",citrus,fruity,fresh,sweet,fresh spicy
https://www.fragrantica.com/perfume/oriflame/pop-glam-electric-yellow-3862.html,Pop Glam Electric Yellow,Oriflame,female,3.58,2000s,"citruses, orange, black currant","red currant, pepper, lily-of-the-valley","raspberry, vanilla",citrus,fruity,fresh,sweet,fresh spicy
https://www.fragrantica.com/perfume/jo-loves/a-shot-of-oud-over-mango-16434.html,A Shot Of Oud Over Mango,Jo Loves,unisex,3.52,2010s,"mango, black pepper",freesia,agarwood (oud),tropical,oud,fruity,sweet,fresh spicy
https://www.fragrantica.com/perfume/acqua-di-parma/acqua-di-parma-blu-mediterraneo-fico-di-amalfi-1687.html,Acqua Di Parma Blu Mediterraneo Fico Di Amalfi,Acqua Di Parma,unisex,4.32,2000s,"grapefruit, bergamot, citron, lemon","fig nectar, jasmine, pink pepper","fig tree, cedar, benzoin",citrus,woody,fruity,sweet,fresh spicy
https://www.fragrantica.com/perfume/caron/yuzu-man-11785.html,Yuzu Man,Caron,male,4.07,2010s,"yuzu, lemon verbena, basil","black fig, fruity notes, pistachio","virginia cedar, sandalwood, spices",citrus,woody,fruity,sweet,fresh spicy
https://www.fragrantica.com/perfume/ralph-lauren/polo-supreme-leather-35681.html,Polo Supreme Leather,Ralph Lauren,male,4.28,2010s,"nutmeg, cardamom","leather, saffron","tonka bean, honey",leather,warm spicy,honey,sweet,fresh spicy
https://www.fragrantica.com/perfume/jean-patou/eau-de-patou-4385.html,Eau De Patou,Jean Patou,female,4.43,1970s,"sicilian citruses, orange","honeysuckle, tunisian orange blossom, nasturtium, pepper, ylang-ylang","oakmoss, civet, amber, musk",citrus,white floral,mossy,sweet,fresh spicy
https://www.fragrantica.com/perfume/carolina-herrera/ch-central-park-35913.html,Ch Central Park,Carolina Herrera,female,3.84,2010s,"plum, white pepper","jasmine, orange blossom, tuberose","white musk, ambrette (musk mallow), cedar",white floral,fruity,musky,sweet,fresh spicy
https://www.fragrantica.com/perfume/l-occitane-en-provence/terre-de-lumiere-intense-48863.html,Terre De Lumiere Intense,L Occitane En Provence,female,4.14,2010s,"anise, pink pepper, bergamot","honey, lavender","vanilla, agarwood (oud), olibanum",honey,vanilla,oud,sweet,fresh spicy
https://www.fragrantica.com/perfume/lalique/lalique-le-parfum-1840.html,Lalique Le Parfum,Lalique,female,4.4,2000s,"west indian bay, pink pepper, bergamot","heliotrope, almond, jasmine","vanilla, tonka bean, sandalwood, patchouli",vanilla,aromatic,powdery,sweet,fresh spicy
https://www.fragrantica.com/perfume/hugo-boss/hugo-energise-569.html,Hugo Energise,Hugo Boss,male,3.98,2000s,"pink pepper, lemon, kumquat, pineapple leaf, mint, mandarin orange, cardamom","nutmeg, jasmine, juniper, freesia, coriander, clary sage","vanilla, leather, teak wood",citrus,aromatic,soft spicy,sweet,fresh spicy
https://www.fragrantica.com/perfume/versace/dreamer-the-original-edition-642.html,Dreamer The Original Edition,Versace,male,4.08,1990s,"lavender, sage, mandarin orange","tobacco, rose, carnation, geranium","tonka bean, fir, vetiver, cedar",aromatic,lavender,tobacco,sweet,fresh spicy
https://www.fragrantica.com/perfume/alysonoldoini/chocman-mint-30293.html,Chocman Mint,Alysonoldoini,male,3.79,2010s,"lavender, mint, exotic fruits, grapefruit, geranium, bergamot","dark chocolate, coffee","vanilla, patchouli, benzoin, tonka bean, musk",warm spicy,aromatic,vanilla,sweet,fresh spicy
https://www.fragrantica.com/perfume/nobile-1942/perdizione-35982.html,Perdizione,Nobile 1942,unisex,4.19,2010s,"bergamot, grapefruit, lavender","orange blossom, neroli, ylang-ylang, petitgrain, rose","vanilla, cedar, musk",citrus,white floral,vanilla,sweet,fresh spicy
https://www.fragrantica.com/perfume/habibi-ny/sahara-rose-62119.html,Sahara Rose,Habibi Ny,unisex,4.05,2020s,"nectarine, raspberry, apple, mandarin orange, pineapple leaf, lemon","bulgarian rose, moroccan rose, geranium, spicy notes, jasmine, chamomile, violet","saffron, agarwood (oud), vanilla, black musk, amber, patchouli, sandalwood",rose,fruity,warm spicy,sweet,fresh spicy
https://www.fragrantica.com/perfume/tous/tous-man-2644.html,Tous Man,Tous,male,3.7,2000s,"ginger, sichuan pepper, brazilian orange, grapefruit","campari, red apple, pineapple","sandalwood, tonka bean, white musk, cedar, amber",citrus,fruity,warm spicy,sweet,fresh spicy
https://www.fragrantica.com/perfume/eric-buterbaugh-florals/sultry-rose-31526.html,Sultry Rose,Eric Buterbaugh Florals,unisex,4.3,2010s,"turkish rose, pepper, passionfruit","rose water, vanilla orchid, saffron","ambrette (musk mallow), ambergris, agarwood (oud)",floral,rose,warm spicy,sweet,fresh spicy
https://www.fragrantica.com/perfume/marks-spencer/opulence-15619.html,Opulence,Marks Spencer,female,4.1,Unknown,"orange, ginger","orchid, pepper","vanilla, vetiver",citrus,vanilla,warm spicy,sweet,fresh spicy
https://www.fragrantica.com/perfume/clinique/clinique-happy-372.html,Clinique Happy,Clinique,female,3.57,1990s,"orange, blood grapefruit, indian mandarin, bergamot, apple, plum","lily-of-the-valley, freesia, orchid, rose","mimosa, lily, magnolia, musk, amber",citrus,floral,white floral,sweet,fresh spicy
https://www.fragrantica.com/perfume/dior/hypnotic-poison-eau-secrete-17218.html,Hypnotic Poison Eau Secrete,Dior,female,3.98,2010s,"sicilian mandarin, italian orange, calabrian bergamot","jasmine sambac, tunisian neroli",vanilla,citrus,vanilla,white floral,sweet,fresh spicy
https://www.fragrantica.com/perfume/alvarez-gomez/agua-de-colonia-concentrada-eau-fraiche-63948.html,Agua De Colonia Concentrada Eau Fraiche,Alvarez Gomez,unisex,4.28,2020s,"tangerine, orange, lemon, pine tree",rosemary,"musk, amber",citrus,aromatic,woody,sweet,fresh spicy
https://www.fragrantica.com/perfume/comptoir-sud-pacifique/eau-de-naphe-1729.html,Eau De Naphe,Comptoir Sud Pacifique,female,3.41,2000s,"bergamot, fir resin, brazilian orange","orange blossom, jasmine, ylang-ylang","cedar, white musk",white floral,citrus,woody,sweet,fresh spicy
